OLT_NAME,TIMESTAMP,ESTABLISHED_CALLS,FAILED_CALLS,NEW_REG,EXPIRED_REG,FAILED_REG,GONE_REG,UNAUTHORIZED_REG
au001-bq-01,2024-07-10T14:20:13.154Z,3,0,7704,150,9,0,35
au001-bq-01,2024-07-10T14:25:06.707Z,2,1,7704,150,9,0,35
au001-bq-01,2024-07-10T14:30:03.111Z,1,0,7703,151,9,0,35
au001-bq-01,2024-07-10T14:35:04.719Z,4,0,7702,151,9,0,36
au001-bq-01,2024-07-10T14:40:02.647Z,0,0,7702,151,9,0,36
au001-bq-01,2024-07-10T14:45:02.487Z,1,0,7702,152,9,0,35
au001-bq-01,2024-07-10T14:50:13.919Z,0,0,7701,154,9,0,34
au001-bq-01,2024-07-10T14:55:16.018Z,0,0,7705,150,9,0,34
au001-bq-01,2024-07-10T15:00:06.913Z,1,0,7704,151,9,0,34
au001-bq-01,2024-07-10T15:05:04.251Z,1,2,7704,151,9,0,34
au001-bq-01,2024-07-10T15:10:02.205Z,1,2,7704,151,9,0,34
au001-bq-01,2024-07-10T15:15:02.010Z,3,0,7704,150,9,0,35
au001-bq-01,2024-07-10T15:20:01.960Z,2,0,7706,149,9,0,34
au001-bq-01,2024-07-10T15:25:02.093Z,2,0,7707,147,9,0,35
au001-bq-01,2024-07-10T15:30:02.372Z,3,0,7710,145,9,0,34
au001-bq-01,2024-07-10T15:35:25.373Z,0,0,7711,145,9,0,33
au001-bq-01,2024-07-10T15:40:22.536Z,5,0,7714,142,9,0,33
au001-bq-01,2024-07-10T15:45:20.893Z,2,0,7713,143,9,0,33
au001-bq-01,2024-07-10T15:50:09.944Z,3,0,7712,144,9,0,33
au001-bq-01,2024-07-10T15:55:13.904Z,2,0,7715,141,9,0,33
au001-bq-01,2024-07-10T16:00:02.752Z,0,0,7717,139,9,0,33
au001-bq-01,2024-07-10T16:05:02.122Z,1,0,7717,139,9,0,33
au001-bq-01,2024-07-10T16:10:02.556Z,6,0,7717,139,9,0,33
au001-bq-01,2024-07-10T16:15:02.010Z,3,1,7717,139,9,0,33
au001-bq-01,2024-07-10T16:20:02.712Z,0,0,7718,138,9,0,33
au001-bq-01,2024-07-10T16:25:01.926Z,2,1,7714,142,9,0,33
au001-bq-01,2024-07-10T16:30:02.576Z,0,0,7714,141,9,0,34
au001-bq-01,2024-07-10T16:35:10.270Z,0,0,7711,144,9,0,34
au001-bq-01,2024-07-10T16:40:02.340Z,1,0,7710,145,9,0,34
au001-bq-01,2024-07-10T16:45:02.226Z,1,0,7710,145,9,0,34
au001-bq-01,2024-07-10T16:50:13.596Z,0,0,7710,145,9,0,34
au001-bq-01,2024-07-10T16:55:15.631Z,0,0,7708,147,9,0,34
au001-bq-01,2024-07-10T17:00:06.569Z,1,0,7706,149,9,0,34
au001-bq-01,2024-07-10T17:05:05.673Z,2,1,7704,151,9,0,34
au001-bq-01,2024-07-10T17:10:02.504Z,0,0,7704,151,9,0,34
au001-bq-01,2024-07-10T17:15:01.645Z,1,1,7704,151,9,0,34
au001-bq-01,2024-07-10T17:20:06.853Z,1,0,7703,152,9,0,34
au001-bq-01,2024-07-10T17:25:15.860Z,1,0,7702,154,9,0,33
au001-bq-01,2024-07-10T17:30:02.962Z,1,0,7701,155,9,0,33
au001-bq-01,2024-07-10T17:35:02.805Z,0,0,7702,154,9,0,33
au001-bq-01,2024-07-10T17:40:01.916Z,1,0,7707,149,9,0,33
au001-bq-01,2024-07-10T17:45:02.169Z,2,0,7709,147,9,0,33
au001-bq-01,2024-07-10T17:50:02.716Z,3,0,7706,150,9,0,33
au001-bq-01,2024-07-10T17:55:02.161Z,1,1,7703,153,9,0,33
au001-bq-01,2024-07-10T18:00:02.525Z,1,0,7702,153,9,0,34
au001-bq-01,2024-07-10T18:05:01.999Z,0,0,7702,154,9,0,33
au001-bq-01,2024-07-10T18:10:02.998Z,1,0,7701,154,9,0,34
au001-bq-01,2024-07-10T18:15:01.868Z,1,0,7701,154,9,0,34
au001-bq-01,2024-07-10T18:20:02.457Z,1,0,7702,153,9,0,34
au001-bq-01,2024-07-10T18:25:02.681Z,2,0,7701,154,9,0,34
au001-bq-01,2024-07-10T18:30:02.658Z,1,0,7702,153,9,0,34
au001-bq-01,2024-07-10T18:35:06.814Z,2,1,7708,148,9,0,33
au001-bq-01,2024-07-10T18:40:03.053Z,1,0,7709,147,9,0,33
au001-bq-01,2024-07-10T18:45:02.034Z,1,0,7711,145,9,0,33
au001-bq-01,2024-07-10T18:50:12.583Z,3,0,7709,147,9,0,33
au001-bq-01,2024-07-10T18:55:02.100Z,0,0,7710,146,9,0,33
au001-bq-01,2024-07-10T19:00:02.499Z,1,1,7711,145,9,0,33
au001-bq-01,2024-07-10T19:05:04.667Z,0,0,7710,146,9,0,33
au001-bq-01,2024-07-10T19:10:02.839Z,0,0,7710,146,9,0,33
au001-bq-01,2024-07-10T19:15:02.386Z,3,0,7708,147,9,0,34
au001-bq-01,2024-07-10T19:20:04.272Z,1,0,7710,146,9,0,33
au001-bq-01,2024-07-10T19:25:01.654Z,2,0,7710,145,9,0,34
au001-bq-01,2024-07-10T19:30:02.019Z,1,0,7713,141,9,0,35
au001-bq-01,2024-07-10T19:35:18.011Z,0,0,7712,142,9,0,35
au001-bq-01,2024-07-10T19:40:10.693Z,1,0,7714,140,9,0,35
au001-bq-01,2024-07-10T19:45:01.976Z,2,0,7717,137,9,0,35
au001-bq-01,2024-07-10T19:50:10.933Z,0,0,7714,139,9,0,36
au001-bq-01,2024-07-10T19:55:08.687Z,0,0,7715,138,9,0,36
au001-bq-01,2024-07-10T20:00:02.219Z,1,0,7715,139,9,0,35
au001-bq-01,2024-07-10T20:05:02.343Z,1,0,7716,138,9,0,35
au001-bq-01,2024-07-10T20:10:02.571Z,0,0,7716,138,9,0,35
au001-bq-01,2024-07-10T20:15:01.775Z,2,0,7715,139,9,0,35
au001-bq-01,2024-07-10T20:20:02.226Z,0,0,7716,138,9,0,35
au001-bq-01,2024-07-10T20:25:05.734Z,2,0,7715,139,9,0,35
au001-bq-01,2024-07-10T20:30:02.515Z,3,0,7715,139,9,0,35
au001-bq-01,2024-07-10T20:35:20.136Z,1,0,7719,135,9,0,35
au001-bq-01,2024-07-10T20:40:18.357Z,2,0,7721,133,9,0,35
au001-bq-01,2024-07-10T20:45:25.149Z,3,0,7720,134,9,0,35
au001-bq-01,2024-07-10T20:50:24.656Z,3,0,7722,132,9,0,35
au001-bq-01,2024-07-10T20:55:24.066Z,3,0,7720,134,9,0,35
au001-bq-01,2024-07-10T21:00:17.863Z,2,0,7718,135,9,0,36
au001-bq-01,2024-07-10T21:05:02.687Z,2,0,7718,135,9,0,36
au001-bq-01,2024-07-10T21:10:02.585Z,0,1,7719,134,9,0,36
au001-bq-01,2024-07-10T21:15:02.361Z,4,0,7723,130,9,0,36
au001-bq-01,2024-07-10T21:20:01.968Z,1,0,7723,130,9,0,36
au001-bq-01,2024-07-10T21:25:03.969Z,2,0,7724,129,9,0,36
au001-bq-01,2024-07-10T21:30:02.580Z,0,0,7729,129,9,0,31
au001-bq-01,2024-07-10T21:35:33.624Z,0,0,7736,126,9,0,27
au001-bq-01,2024-07-10T21:41:27.805Z,0,0,7739,125,9,0,25
au001-bq-01,2024-07-10T21:48:22.767Z,2,1,7753,120,9,0,16
au001-bq-01,2024-07-10T21:55:12.510Z,2,0,7758,117,9,0,14
au001-bq-01,2024-07-10T22:02:05.924Z,1,0,7764,116,9,0,9
au001-bq-01,2024-07-10T22:09:09.617Z,1,0,7770,114,9,0,5
au001-bq-01,2024-07-10T22:15:56.665Z,3,0,7775,112,9,0,2
au001-bq-01,2024-07-10T22:22:45.628Z,1,0,7777,111,9,0,1
au001-bq-01,2024-07-10T22:29:01.991Z,0,0,7778,110,9,0,1
au001-bq-01,2024-07-10T22:34:26.737Z,3,2,7776,112,9,0,1
au001-bq-01,2024-07-10T22:39:52.875Z,1,0,7773,115,9,0,2
au001-bq-01,2024-07-10T22:44:48.568Z,2,2,7772,116,9,0,2
au001-bq-01,2024-07-10T22:49:39.308Z,4,0,7772,116,9,0,2
au001-bq-01,2024-07-10T22:54:30.452Z,3,0,7770,118,9,0,2
au001-bq-01,2024-07-10T22:59:31.495Z,3,0,7766,122,9,0,2
au001-bq-01,2024-07-10T23:04:15.739Z,1,1,7767,121,9,0,2
au001-bq-01,2024-07-10T23:09:07.817Z,3,0,7773,115,9,0,2
au001-bq-01,2024-07-10T23:14:14.942Z,2,2,7771,117,9,0,2
au001-bq-01,2024-07-10T23:19:05.264Z,1,0,7773,115,9,0,2
au001-bq-01,2024-07-10T23:24:10.653Z,2,0,7772,116,9,0,2
au001-bq-01,2024-07-10T23:29:07.928Z,2,0,7772,116,9,0,2
au001-bq-01,2024-07-10T23:34:09.216Z,2,0,7775,113,9,0,2
au001-bq-01,2024-07-10T23:39:11.118Z,2,0,7778,110,9,0,2
au001-bq-01,2024-07-10T23:44:15.655Z,5,0,7776,112,9,0,2
au001-bq-01,2024-07-10T23:49:12.491Z,2,1,7778,110,9,0,2
au001-bq-01,2024-07-10T23:54:41.074Z,2,0,7776,112,9,0,2
au001-bq-01,2024-07-10T23:59:37.600Z,3,1,7776,111,9,0,3
au001-bq-01,2024-07-11T00:04:26.934Z,0,1,7774,113,9,0,3
au001-bq-01,2024-07-11T00:09:19.854Z,1,2,7774,114,9,0,2
au001-bq-01,2024-07-11T00:14:15.950Z,2,0,7771,117,9,0,2
au001-bq-01,2024-07-11T00:19:15.006Z,2,0,7773,115,9,0,2
au001-bq-01,2024-07-11T00:24:05.651Z,2,0,7774,114,9,0,2
au001-bq-01,2024-07-11T00:28:56.525Z,0,0,7775,113,9,0,2
au001-bq-01,2024-07-11T00:33:49.412Z,3,0,7773,115,9,0,2
au001-bq-01,2024-07-11T00:38:30.879Z,4,0,7771,117,9,0,2
au001-bq-01,2024-07-11T00:43:29.000Z,2,0,7770,118,9,0,2
au001-bq-01,2024-07-11T00:48:16.020Z,2,0,7768,120,9,0,2
au001-bq-01,2024-07-11T00:53:01.744Z,4,0,7768,120,9,0,2
au001-bq-01,2024-07-11T00:57:46.023Z,2,0,7766,122,9,0,2
au001-bq-01,2024-07-11T01:02:34.020Z,2,0,7764,124,9,0,2
au001-bq-01,2024-07-11T01:07:31.270Z,2,0,7753,135,9,0,2
au001-bq-01,2024-07-11T01:12:18.157Z,1,1,7749,139,9,0,2
au001-bq-01,2024-07-11T01:17:09.138Z,2,2,7743,145,9,0,2
au001-bq-01,2024-07-11T01:21:44.799Z,0,0,7740,148,9,0,2
au001-bq-01,2024-07-11T01:26:09.758Z,2,0,7730,158,9,0,2
au001-bq-01,2024-07-11T01:30:26.741Z,0,0,7730,158,9,0,2
au001-bq-01,2024-07-11T01:35:02.421Z,0,0,7729,159,9,0,2
au001-bq-01,2024-07-11T01:40:02.511Z,1,1,7725,163,9,0,2
au001-bq-01,2024-07-11T01:45:01.681Z,0,0,7724,164,9,0,2
au001-bq-01,2024-07-11T01:50:02.786Z,3,0,7721,167,9,0,2
au001-bq-01,2024-07-11T01:55:02.361Z,0,0,7721,167,9,0,2
au001-bq-01,2024-07-11T02:00:02.825Z,1,0,7717,170,9,0,3
au001-bq-01,2024-07-11T02:05:02.463Z,1,0,7716,171,9,0,3
au001-bq-01,2024-07-11T02:10:02.793Z,0,0,7706,181,9,0,3
au001-bq-01,2024-07-11T02:15:01.676Z,1,0,7703,183,9,0,4
au001-bq-01,2024-07-11T02:20:02.588Z,0,0,7699,187,9,0,4
au001-bq-01,2024-07-11T02:25:01.835Z,0,0,7693,193,9,0,4
au001-bq-01,2024-07-11T02:30:02.390Z,1,0,7692,194,9,0,4
au001-bq-01,2024-07-11T02:35:01.777Z,0,0,7690,196,9,0,4
au001-bq-01,2024-07-11T02:40:02.132Z,1,0,7689,197,9,0,4
au001-bq-01,2024-07-11T02:45:02.159Z,0,0,7681,205,9,0,4
au001-bq-01,2024-07-11T02:50:02.240Z,0,0,7661,225,9,0,4
au001-bq-01,2024-07-11T02:55:02.036Z,0,0,7657,228,9,0,5
au001-bq-01,2024-07-11T03:00:02.425Z,0,0,7655,230,9,0,5
au001-bq-01,2024-07-11T03:05:02.395Z,0,0,7646,239,9,0,5
au001-bq-01,2024-07-11T03:10:02.468Z,0,0,7645,240,9,0,5
au001-bq-01,2024-07-11T03:15:02.170Z,1,0,7643,242,9,0,5
au001-bq-01,2024-07-11T03:20:02.510Z,0,0,7640,245,9,0,5
au001-bq-01,2024-07-11T03:25:01.802Z,0,0,7640,245,9,0,5
au001-bq-01,2024-07-11T03:30:02.820Z,0,0,7640,245,9,0,5
au001-bq-01,2024-07-11T03:35:01.931Z,0,0,7638,247,9,0,5
au001-bq-01,2024-07-11T03:40:02.421Z,0,0,7636,249,9,0,5
au001-bq-01,2024-07-11T03:45:02.785Z,0,1,7631,254,9,0,5
au001-bq-01,2024-07-11T03:50:02.120Z,0,0,7629,256,9,0,5
au001-bq-01,2024-07-11T03:55:01.776Z,0,0,7625,260,9,0,5
au001-bq-01,2024-07-11T04:00:02.234Z,0,0,7625,260,9,0,5
au001-bq-01,2024-07-11T04:05:02.415Z,0,0,7622,263,9,0,5
au001-bq-01,2024-07-11T04:10:02.310Z,0,0,7621,264,9,0,5
au001-bq-01,2024-07-11T04:15:01.886Z,0,0,7620,265,9,0,5
au001-bq-01,2024-07-11T04:20:02.639Z,0,0,7615,270,9,0,5
au001-bq-01,2024-07-11T04:25:01.799Z,0,0,7623,262,9,0,5
au001-bq-01,2024-07-11T04:30:02.458Z,0,0,7621,264,9,0,5
au001-bq-01,2024-07-11T04:35:02.247Z,0,0,7619,266,9,0,5
au001-bq-01,2024-07-11T04:40:02.053Z,1,0,7647,237,9,0,6
au001-bq-01,2024-07-11T04:45:01.905Z,0,0,7648,236,9,0,6
au001-bq-01,2024-07-11T04:50:02.830Z,0,0,7648,236,9,0,6
au001-bq-01,2024-07-11T04:55:01.700Z,0,0,7649,235,9,0,6
au001-bq-01,2024-07-11T05:00:02.317Z,0,0,7644,240,9,0,6
au001-bq-01,2024-07-11T05:05:02.072Z,0,0,7642,242,9,0,6
au001-bq-01,2024-07-11T05:10:03.143Z,0,0,7643,241,9,0,6
au001-bq-01,2024-07-11T05:15:01.802Z,0,0,7641,243,9,0,6
au001-bq-01,2024-07-11T05:20:02.502Z,1,0,7639,245,9,0,6
au001-bq-01,2024-07-11T05:25:02.113Z,0,0,7639,245,9,0,6
au001-bq-01,2024-07-11T05:30:02.601Z,1,0,7637,247,9,0,6
au001-bq-01,2024-07-11T05:35:02.127Z,0,0,7634,250,9,0,6
au001-bq-01,2024-07-11T05:40:02.435Z,0,0,7631,252,9,0,7
au001-bq-01,2024-07-11T05:45:01.958Z,0,0,7630,253,9,0,7
au001-bq-01,2024-07-11T05:50:02.509Z,0,0,7628,256,9,0,6
au001-bq-01,2024-07-11T05:55:02.219Z,0,0,7625,259,9,0,6
au001-bq-01,2024-07-11T06:00:02.572Z,0,0,7624,260,9,0,6
au001-bq-01,2024-07-11T06:05:02.367Z,0,0,7623,261,9,0,6
au001-bq-01,2024-07-11T06:10:02.217Z,0,0,7623,261,9,0,6
au001-bq-01,2024-07-11T06:15:01.975Z,0,0,7623,261,9,0,6
au001-bq-01,2024-07-11T06:20:02.714Z,0,0,7623,261,9,0,6
au001-bq-01,2024-07-11T06:25:01.839Z,0,0,7623,261,9,0,6
au001-bq-01,2024-07-11T06:30:03.103Z,0,0,7621,263,9,0,6
au001-bq-01,2024-07-11T06:35:02.220Z,0,0,7621,263,9,0,6
au001-bq-01,2024-07-11T06:40:03.015Z,0,0,7623,262,9,0,5
au001-bq-01,2024-07-11T06:45:02.511Z,0,0,7624,262,9,0,4
au001-bq-01,2024-07-11T06:50:30.978Z,0,0,7625,261,9,0,4
au001-bq-01,2024-07-11T06:56:08.148Z,0,0,7645,241,9,0,4
au001-bq-01,2024-07-11T07:01:54.864Z,0,0,7648,240,9,0,2
au001-bq-01,2024-07-11T07:07:14.273Z,0,0,7650,239,9,0,1
au001-bq-01,2024-07-11T07:12:44.712Z,0,0,7650,239,9,0,1
au001-bq-01,2024-07-11T07:17:51.769Z,0,0,7651,239,9,0,0
au001-bq-01,2024-07-11T07:23:24.430Z,0,0,7651,239,9,0,0
au001-bq-01,2024-07-11T07:27:54.870Z,0,0,7650,239,9,0,1
au001-bq-01,2024-07-11T07:32:07.850Z,0,0,7652,237,9,0,1
au001-bq-01,2024-07-11T07:36:20.263Z,0,0,7652,237,9,0,1
au001-bq-01,2024-07-11T07:40:33.368Z,0,0,7651,238,10,0,0
au001-bq-01,2024-07-11T07:45:02.185Z,0,0,7651,238,10,0,0
au001-bq-01,2024-07-11T07:50:02.067Z,0,0,7651,238,10,0,0
au001-bq-01,2024-07-11T07:55:02.578Z,0,0,7650,239,10,0,0
au001-bq-01,2024-07-11T08:00:03.180Z,0,0,7649,240,10,0,0
au001-bq-01,2024-07-11T08:05:01.924Z,0,0,7650,239,10,0,0
au001-bq-01,2024-07-11T08:10:02.347Z,0,0,7650,239,10,0,0
au001-bq-01,2024-07-11T08:15:01.860Z,0,0,7650,239,10,0,0
au001-bq-01,2024-07-11T08:20:02.932Z,0,0,7652,237,10,0,0
au001-bq-01,2024-07-11T08:25:01.802Z,0,0,7653,236,10,0,0
au001-bq-01,2024-07-11T08:30:03.265Z,0,0,7654,235,10,0,0
au001-bq-01,2024-07-11T08:35:01.693Z,0,0,7654,235,10,0,0
au001-bq-01,2024-07-11T08:40:01.964Z,0,0,7654,235,10,0,0
au001-bq-01,2024-07-11T08:45:02.624Z,0,0,7656,233,10,0,0
au001-bq-01,2024-07-11T08:50:02.477Z,0,0,7655,234,10,0,0
au001-bq-01,2024-07-11T08:55:02.183Z,0,0,7654,235,10,0,0
au001-bq-01,2024-07-11T09:00:02.887Z,0,0,7655,234,10,0,0
au001-bq-01,2024-07-11T09:05:01.611Z,0,0,7654,235,10,0,0
au001-bq-01,2024-07-11T09:10:02.976Z,0,0,7657,232,10,0,0
au001-bq-01,2024-07-11T09:15:01.707Z,0,0,7658,231,10,0,0
au001-bq-01,2024-07-11T09:20:02.644Z,0,0,7658,231,10,0,0
au001-bq-01,2024-07-11T09:25:02.092Z,0,0,7657,232,10,0,0
au001-bq-01,2024-07-11T09:30:03.307Z,0,0,7657,232,10,0,0
au001-bq-01,2024-07-11T09:35:01.725Z,0,0,7657,232,10,0,0
au001-bq-01,2024-07-11T09:40:03.423Z,0,0,7662,227,10,0,0
au001-bq-01,2024-07-11T09:45:02.592Z,0,0,7663,226,10,0,0
au001-bq-01,2024-07-11T09:50:01.971Z,0,0,7665,224,10,0,0
au001-bq-01,2024-07-11T09:55:02.437Z,0,0,7670,219,10,0,0
au001-bq-01,2024-07-11T10:00:03.079Z,0,0,7670,219,10,0,0
au001-bq-01,2024-07-11T10:05:01.693Z,0,0,7672,217,10,0,0
au001-bq-01,2024-07-11T10:10:02.787Z,0,0,7676,213,10,0,0
au001-bq-01,2024-07-11T10:15:02.451Z,0,0,7676,213,10,0,0
au001-bq-01,2024-07-11T10:20:02.869Z,0,0,7677,212,10,0,0
au001-bq-01,2024-07-11T10:25:02.042Z,0,0,7678,211,10,0,0
au001-bq-01,2024-07-11T10:30:02.767Z,1,0,7679,210,10,0,0
au001-bq-01,2024-07-11T10:35:02.049Z,1,0,7679,210,10,0,0
au001-bq-01,2024-07-11T10:40:02.729Z,0,0,7680,209,10,0,0
au001-bq-01,2024-07-11T10:45:01.913Z,0,0,7681,208,10,0,0
au001-bq-01,2024-07-11T10:50:02.764Z,0,0,7679,210,10,0,0
au001-bq-01,2024-07-11T10:55:02.414Z,0,0,7680,209,10,0,0
au001-bq-01,2024-07-11T11:00:02.160Z,0,0,7681,208,10,0,0
au001-bq-01,2024-07-11T11:05:01.626Z,0,0,7684,205,10,0,0
au001-bq-01,2024-07-11T11:10:02.593Z,0,0,7685,204,10,0,0
au001-bq-01,2024-07-11T11:15:02.145Z,1,0,7685,204,10,0,0
au001-bq-01,2024-07-11T11:20:02.496Z,0,0,7684,205,10,0,0
au001-bq-01,2024-07-11T11:25:01.593Z,1,0,7685,204,10,0,0
au001-bq-01,2024-07-11T11:30:02.481Z,0,0,7686,203,10,0,0
au001-bq-01,2024-07-11T11:35:02.243Z,0,0,7686,202,10,0,1
au001-bq-01,2024-07-11T11:40:02.553Z,0,0,7688,200,10,0,1
au001-bq-01,2024-07-11T11:45:02.187Z,0,0,7688,200,10,0,1
au001-bq-01,2024-07-11T11:50:02.307Z,1,0,7691,197,10,0,1
au001-bq-01,2024-07-11T11:55:01.664Z,1,0,7697,191,10,0,1
au001-bq-01,2024-07-11T12:00:03.440Z,2,0,7698,190,10,0,1
au001-bq-01,2024-07-11T12:05:02.030Z,0,0,7702,186,10,0,1
au001-bq-01,2024-07-11T12:10:02.035Z,1,0,7706,182,10,0,1
au001-bq-01,2024-07-11T12:15:02.409Z,1,0,7710,178,10,0,1
au001-bq-01,2024-07-11T12:20:02.031Z,0,0,7713,175,10,0,1
au001-bq-01,2024-07-11T12:25:01.891Z,1,2,7717,171,10,0,1
au001-bq-01,2024-07-11T12:30:02.781Z,1,0,7718,170,10,0,1
au001-bq-01,2024-07-11T12:35:04.676Z,3,0,7715,173,10,0,1
au001-bq-01,2024-07-11T12:40:02.005Z,1,0,7717,171,10,0,1
au001-bq-01,2024-07-11T12:45:02.102Z,3,0,7718,170,10,0,1
au001-bq-01,2024-07-11T12:50:02.448Z,2,0,7721,167,10,0,1
au001-bq-01,2024-07-11T12:55:02.109Z,3,0,7724,164,10,0,1
au001-bq-01,2024-07-11T13:00:02.163Z,1,0,7724,164,10,0,1
au001-bq-01,2024-07-11T13:05:35.054Z,3,0,7724,164,10,0,1
au001-bq-01,2024-07-11T13:10:31.287Z,1,0,7718,170,10,0,1
au001-bq-01,2024-07-11T13:15:24.356Z,1,0,7725,163,10,0,1
au001-bq-01,2024-07-11T13:20:19.232Z,1,0,7725,163,10,0,1
au001-bq-01,2024-07-11T13:25:20.638Z,3,0,7723,165,10,0,1
au001-bq-01,2024-07-11T13:30:25.499Z,0,0,7725,163,10,0,1
au001-bq-01,2024-07-11T13:35:17.926Z,5,0,7722,160,10,0,1
au001-bq-01,2024-07-11T13:40:24.744Z,2,1,7725,157,10,0,1
au001-bq-01,2024-07-11T13:45:22.435Z,3,0,7727,155,10,0,1
